date, number_of_issues, number_of_pull_requests, number_of_commits
2016-05-04, 13, 6, 37
2016-05-05, 16, 2, 30
2016-05-06, 17, 7, 22
2016-05-07, 9, 4, 3
2016-05-08, 9, 6, 12
2016-05-09, 23, 5, 19
2016-05-10, 16, 1, 35
2016-05-11, 16, 2, 28
2016-05-12, 14, 6, 32
2016-05-13, 13, 7, 42
2016-05-14, 8, 2, 6
2016-05-15, 10, 3, 6
2016-05-16, 17, 7, 23
2016-05-17, 15, 4, 54
2016-05-18, 12, 3, 29
2016-05-19, 15, 3, 18
2016-05-20, 10, 5, 32
2016-05-21, 11, 1, 11
2016-05-22, 11, 1, 5
2016-05-23, 15, 5, 38
2016-05-24, 12, 4, 47
2016-05-25, 14, 5, 50
2016-05-26, 16, 4, 66
2016-05-27, 19, 12, 61
2016-05-28, 19, 10, 22
2016-05-29, 11, 4, 6
2016-05-30, 14, 6, 8
2016-05-31, 11, 4, 30
2016-06-01, 13, 4, 31
2016-06-02, 15, 6, 39
2016-06-03, 22, 10, 67
2016-06-04, 12, 6, 15
2016-06-05, 16, 9, 8
2016-06-06, 22, 13, 29
2016-06-07, 18, 8, 54
2016-06-08, 26, 12, 48
2016-06-09, 27, 11, 44
2016-06-10, 25, 5, 32
2016-06-11, 16, 4, 25
2016-06-12, 9, 4, 8
2016-06-13, 21, 11, 36
2016-06-14, 28, 12, 52
2016-06-15, 22, 14, 64
2016-06-16, 24, 7, 66
2016-06-17, 24, 6, 31
2016-06-18, 7, 4, 10
2016-06-19, 5, 1, 4
2016-06-20, 9, 5, 24
2016-06-21, 23, 14, 53
2016-06-22, 19, 7, 34
2016-06-23, 9, 2, 36
2016-06-24, 23, 11, 37
2016-06-25, 13, 3, 10
2016-06-26, 6, 2, 4
2016-06-27, 12, 5, 33
2016-06-28, 26, 6, 34
2016-06-29, 25, 13, 38
2016-06-30, 14, 7, 44
2016-07-01, 24, 14, 40
2016-07-02, 5, 3, 10
2016-07-03, 14, 4, 2
2016-07-04, 15, 3, 0
2016-07-05, 10, 1, 0
2016-07-06, 11, 1, 25
2016-07-07, 19, 6, 35
2016-07-08, 13, 8, 54
2016-07-09, 8, 5, 6
2016-07-10, 9, 5, 7
2016-07-11, 17, 5, 49
2016-07-12, 9, 6, 29
2016-07-13, 17, 8, 50
2016-07-14, 19, 4, 46
2016-07-15, 13, 4, 26
2016-07-16, 12, 3, 19
2016-07-17, 6, 2, 3
2016-07-18, 27, 1, 28
2016-07-19, 18, 5, 42
2016-07-20, 32, 13, 28
2016-07-21, 26, 8, 37
2016-07-22, 17, 6, 40
2016-07-23, 5, 0, 7
2016-07-24, 7, 2, 4
2016-07-25, 11, 3, 26
2016-07-26, 21, 7, 45
2016-07-27, 22, 6, 34
2016-07-28, 14, 5, 34
2016-07-29, 26, 14, 40
2016-07-30, 7, 2, 12
2016-07-31, 6, 2, 5
2016-08-01, 11, 4, 35
2016-08-02, 11, 4, 32
2016-08-03, 18, 2, 36
2016-08-04, 22, 9, 31
2016-08-05, 17, 9, 42
2016-08-06, 8, 1, 10
2016-08-07, 10, 0, 4
2016-08-08, 10, 5, 35
2016-08-09, 18, 4, 40
2016-08-10, 22, 6, 59
2016-08-11, 16, 6, 35
2016-08-12, 29, 14, 54
2016-08-13, 13, 3, 15
2016-08-14, 11, 6, 8
2016-08-15, 22, 9, 32
2016-08-16, 36, 8, 44
2016-08-17, 21, 10, 43
2016-08-18, 22, 8, 51
2016-08-19, 24, 6, 40
2016-08-20, 10, 1, 4
2016-08-21, 5, 1, 4
2016-08-22, 18, 7, 46
2016-08-23, 30, 9, 55
2016-08-24, 30, 8, 52
2016-08-25, 21, 11, 67
2016-08-26, 22, 11, 59
2016-08-27, 8, 1, 22
2016-08-28, 5, 1, 9
2016-08-29, 15, 3, 7
2016-08-30, 11, 2, 34
2016-08-31, 26, 6, 54
2016-09-01, 24, 12, 49
2016-09-02, 24, 9, 48
2016-09-03, 5, 3, 10
2016-09-04, 6, 3, 4
2016-09-05, 18, 2, 6
2016-09-06, 21, 8, 31
2016-09-07, 24, 7, 43
2016-09-08, 27, 12, 48
2016-09-09, 24, 11, 74
2016-09-10, 9, 4, 17
2016-09-11, 7, 3, 7
2016-09-12, 16, 5, 31
2016-09-13, 25, 7, 56
2016-09-14, 20, 11, 54
2016-09-15, 17, 7, 56
2016-09-16, 16, 10, 55
2016-09-17, 7, 2, 14
2016-09-18, 17, 2, 5
2016-09-19, 34, 16, 40
2016-09-20, 20, 7, 48
2016-09-21, 26, 9, 52
2016-09-22, 14, 4, 67
2016-09-23, 20, 5, 58
2016-09-24, 10, 6, 22
2016-09-25, 8, 4, 7
