date,number_of_issues,number_of_commits,IS_commit
5/9/2016,22,14,TRUE
5/10/2016,13,27,TRUE
5/11/2016,20,33,TRUE
5/12/2016,11,22,TRUE
5/13/2016,12,40,TRUE
5/14/2016,16,34,TRUE
5/15/2016,6,1,TRUE
5/16/2016,18,9,TRUE
5/17/2016,17,39,TRUE
5/18/2016,11,47,TRUE
5/19/2016,13,21,TRUE
5/20/2016,8,21,TRUE
5/21/2016,13,33,TRUE
5/22/2016,12,2,TRUE
5/23/2016,13,14,TRUE
5/24/2016,13,54,TRUE
5/25/2016,13,43,TRUE
5/26/2016,9,61,TRUE
5/27/2016,25,55,TRUE
5/28/2016,22,54,TRUE
5/29/2016,10,11,TRUE
5/30/2016,12,6,TRUE
5/31/2016,12,13,TRUE
6/1/2016,13,35,TRUE
6/2/2016,17,31,TRUE
6/3/2016,17,55,TRUE
6/4/2016,14,48,TRUE
6/5/2016,15,8,TRUE
6/6/2016,19,9,TRUE
6/7/2016,19,47,TRUE
6/8/2016,25,50,TRUE
6/9/2016,26,52,TRUE
6/10/2016,27,35,TRUE
6/11/2016,20,35,TRUE
6/12/2016,10,15,TRUE
6/13/2016,16,11,TRUE
6/14/2016,20,41,TRUE
6/15/2016,32,66,TRUE
6/16/2016,20,66,TRUE
6/17/2016,27,50,TRUE
6/18/2016,15,25,TRUE
6/19/2016,4,2,TRUE
6/20/2016,6,6,TRUE
6/21/2016,23,51,TRUE
6/22/2016,16,28,TRUE
6/23/2016,15,41,TRUE
6/24/2016,18,35,TRUE
6/25/2016,16,33,TRUE
6/26/2016,8,4,TRUE
6/27/2016,8,13,TRUE
6/28/2016,18,32,TRUE
6/29/2016,27,42,TRUE
6/30/2016,18,34,TRUE
7/1/2016,27,43,TRUE
7/2/2016,9,38,TRUE
7/3/2016,13,0,FALSE
7/4/2016,13,2,TRUE
7/5/2016,8,0,FALSE
7/6/2016,13,1,TRUE
7/7/2016,15,37,TRUE
7/8/2016,15,43,TRUE
7/9/2016,9,39,TRUE
7/10/2016,13,6,TRUE
7/11/2016,11,8,TRUE
7/12/2016,14,51,TRUE
7/13/2016,11,41,TRUE
7/14/2016,20,42,TRUE
7/15/2016,15,39,TRUE
7/16/2016,14,36,TRUE
7/17/2016,6,4,TRUE
7/18/2016,16,10,TRUE
7/19/2016,26,32,TRUE
7/20/2016,26,45,TRUE
7/21/2016,27,28,TRUE
7/22/2016,17,31,TRUE
7/23/2016,15,38,TRUE
7/24/2016,3,1,TRUE
7/25/2016,12,8,TRUE
7/26/2016,15,34,TRUE
7/27/2016,21,42,TRUE
7/28/2016,20,33,TRUE
7/29/2016,21,41,TRUE
7/30/2016,17,34,TRUE
7/31/2016,5,7,TRUE
8/1/2016,7,7,TRUE
8/2/2016,12,41,TRUE
8/3/2016,14,33,TRUE
8/4/2016,21,34,TRUE
8/5/2016,22,36,TRUE
8/6/2016,9,34,TRUE
8/7/2016,10,3,TRUE
8/8/2016,9,8,TRUE
8/9/2016,16,41,TRUE
8/10/2016,19,45,TRUE
8/11/2016,20,49,TRUE
8/12/2016,20,53,TRUE
8/13/2016,24,41,TRUE
8/14/2016,10,5,TRUE
8/15/2016,12,10,TRUE
8/16/2016,33,40,TRUE
8/17/2016,25,46,TRUE
8/18/2016,29,43,TRUE
8/19/2016,23,51,TRUE
8/20/2016,15,29,TRUE
8/21/2016,6,3,TRUE
8/22/2016,5,8,TRUE
8/23/2016,34,60,TRUE
8/24/2016,31,57,TRUE
8/25/2016,22,50,TRUE
8/26/2016,22,68,TRUE
8/27/2016,14,55,TRUE
8/28/2016,5,10,TRUE
8/29/2016,12,8,TRUE
8/30/2016,8,9,TRUE
8/31/2016,27,44,TRUE
9/1/2016,23,63,TRUE
9/2/2016,21,38,TRUE
9/3/2016,14,40,TRUE
9/4/2016,5,7,TRUE
9/5/2016,18,7,TRUE
9/6/2016,18,6,TRUE
9/7/2016,23,44,TRUE
9/8/2016,25,42,TRUE
9/9/2016,23,63,TRUE
9/10/2016,18,57,TRUE
9/11/2016,6,6,TRUE
9/12/2016,12,7,TRUE
9/13/2016,17,43,TRUE
9/14/2016,31,56,TRUE
9/15/2016,12,59,TRUE
9/16/2016,16,49,TRUE
9/17/2016,12,51,TRUE
9/18/2016,14,7,TRUE
9/19/2016,27,9,TRUE
9/20/2016,25,49,TRUE
9/21/2016,23,46,TRUE
9/22/2016,21,70,TRUE
9/23/2016,20,47,TRUE
9/24/2016,12,64,TRUE
9/25/2016,6,10,TRUE
9/26/2016,13,14,TRUE
9/27/2016,14,65,TRUE
9/28/2016,31,55,TRUE
9/29/2016,27,63,TRUE
9/30/2016,30,49,TRUE
10/1/2016,21,44,TRUE
10/2/2016,13,5,TRUE
10/3/2016,9,6,TRUE
10/4/2016,28,38,TRUE
10/5/2016,24,39,TRUE
10/6/2016,19,40,TRUE
10/7/2016,24,63,TRUE
10/8/2016,20,47,TRUE
10/9/2016,12,2,TRUE
10/10/2016,19,14,TRUE
10/11/2016,19,57,TRUE
10/12/2016,19,70,TRUE
10/13/2016,29,76,TRUE
10/14/2016,27,64,TRUE
10/15/2016,17,69,TRUE
10/16/2016,4,17,TRUE
10/17/2016,19,28,TRUE
10/18/2016,33,65,TRUE
10/19/2016,26,83,TRUE
10/20/2016,25,66,TRUE
10/21/2016,23,77,TRUE
10/22/2016,20,48,TRUE
10/23/2016,12,23,TRUE
