date, number_of_issues, number_of_pull_requests, number_of_commits
2012-03-26, 1, 1, 4
2012-03-27, 1, 0, 10
2012-03-28, 4, 0, 5
2012-03-29, 4, 0, 10
2012-03-31, 3, 2, 8
2012-04-01, 4, 3, 26
2012-04-02, 6, 2, 9
2012-04-03, 6, 1, 6
2012-04-04, 1, 0, 2
2012-04-05, 3, 1, 4
2012-04-06, 3, 1, 2
2012-04-07, 3, 0, 30
2012-04-08, 4, 1, 22
2012-04-09, 10, 5, 24
2012-04-10, 6, 4, 30
2012-04-11, 6, 3, 23
2012-04-12, 5, 2, 37
2012-04-13, 4, 0, 6
2012-04-14, 6, 5, 38
2012-04-15, 3, 2, 29
2012-04-16, 5, 1, 26
2012-04-17, 5, 4, 36
2012-04-18, 1, 0, 11
2012-04-19, 8, 5, 11
2012-04-20, 6, 1, 27
2012-04-21, 3, 3, 13
2012-04-23, 4, 2, 20
2012-04-24, 6, 2, 17
2012-04-25, 3, 0, 11
2012-04-26, 4, 0, 17
2012-04-27, 2, 0, 9
2012-04-28, 3, 1, 19
2012-04-29, 4, 3, 32
2012-04-30, 6, 1, 34
2012-05-01, 6, 0, 16
2012-05-02, 4, 3, 22
2012-05-03, 7, 2, 18
2012-05-04, 2, 2, 10
2012-05-05, 6, 0, 14
2012-05-06, 4, 2, 20
2012-05-07, 3, 0, 9
2012-05-08, 1, 0, 15
2012-05-09, 4, 1, 6
2012-05-10, 6, 2, 18
2012-05-11, 3, 0, 4
2012-05-12, 2, 0, 4
2012-05-13, 4, 2, 32
2012-05-14, 4, 0, 12
2012-05-15, 3, 0, 14
2012-05-16, 3, 2, 12
2012-05-17, 3, 1, 10
2012-05-18, 3, 0, 10
2012-05-19, 3, 1, 8
2012-05-20, 1, 0, 10
2012-05-21, 4, 0, 17
2012-05-22, 9, 5, 29
2012-05-23, 3, 0, 14
2012-05-24, 2, 1, 29
2012-05-25, 4, 1, 13
2012-05-26, 4, 2, 16
2012-05-27, 6, 1, 22
2012-05-28, 7, 2, 36
2012-05-29, 4, 2, 38
2012-05-30, 5, 1, 28
2012-05-31, 5, 2, 23
2012-06-01, 1, 0, 11
2012-06-02, 1, 0, 9
2012-06-03, 3, 0, 5
2012-06-04, 2, 1, 7
2012-06-05, 2, 0, 18
2012-06-06, 1, 1, 10
2012-06-07, 3, 0, 15
2012-06-08, 1, 1, 7
2012-06-09, 2, 0, 6
2012-06-10, 1, 0, 11
2012-06-12, 2, 1, 3
2012-06-13, 1, 0, 2
2012-06-14, 7, 0, 8
2012-06-16, 3, 2, 7
2012-06-17, 3, 1, 25
2012-06-18, 3, 0, 27
2012-06-19, 12, 5, 43
2012-06-20, 3, 2, 21
2012-06-21, 2, 0, 17
2012-06-22, 4, 2, 10
2012-06-24, 3, 1, 12
2012-06-25, 4, 0, 4
2012-06-26, 6, 2, 12
2012-06-27, 8, 3, 23
2012-06-28, 4, 1, 17
2012-06-29, 6, 1, 26
2012-06-30, 3, 2, 20
2012-07-01, 2, 1, 34
2012-07-02, 2, 1, 12
2012-07-03, 4, 0, 18
2012-07-04, 1, 0, 11
2012-07-05, 2, 1, 13
2012-07-06, 2, 1, 21
2012-07-07, 5, 2, 9
2012-07-08, 1, 1, 19
2012-07-09, 9, 2, 17
2012-07-10, 6, 4, 15
2012-07-11, 5, 4, 11
2012-07-12, 7, 3, 17
2012-07-13, 8, 4, 17
2012-07-14, 2, 1, 7
2012-07-15, 3, 1, 4
2012-07-16, 3, 2, 16
2012-07-17, 4, 2, 6
2012-07-18, 1, 1, 8
2012-07-19, 3, 1, 4
2012-07-20, 4, 2, 7
2012-07-21, 3, 1, 19
2012-07-22, 2, 0, 12
2012-07-23, 3, 1, 14
